source_id,raw_u-g,raw_g-r,raw_r-i,raw_i-z,u-g,g-r,r-i,i-z,r_mag,concentration_r,z_spec,z_spec_err,is_valid
75075,1.2514800000000008,0.6590200000000017,0.36359999999999815,0.2042900000000003,1.23552265,0.6416646700000008,0.35359255999999917,0.19687391999999804,17.62502429,2.195439868175015,0.1252871,1.15232e-05,False
72711,1.1202000000000005,0.4712399999999981,0.2877400000000012,0.23940999999999946,1.0982675200000003,0.44738607999999935,0.27398533000000036,0.2292170200000001,15.86122755,1.9414120614480088,0.0308181,1.005099e-05,False
54114,4.9879999999999995,1.1153399999999998,0.9783100000000005,0.4640400000000007,4.959271600000001,1.0840947199999995,0.960293329999999,0.45068864000000275,20.36822698,1.579598268023154,0.2870224,9.039963e-05,False
27390,1.523299999999999,0.991220000000002,0.4451299999999989,0.31612999999999936,1.5121809599999985,0.9791268500000001,0.4381568400000013,0.31096248999999787,16.61262575,2.143387980087157,0.1677026,2.817681e-05,True
25079,5.02272,1.4967600000000019,0.9851199999999984,0.5214800000000004,5.007211969999997,1.4798933700000028,0.9753943399999976,0.5142727500000035,20.11945119,2.6544178348414684,,0.000110788,False
43603,0.6302500000000002,1.7532800000000002,0.7189799999999984,0.3711200000000012,0.621575110000002,1.7438451400000012,0.7135396599999986,0.3670884000000001,18.979782529999998,2.3498462476310333,0.4055061,0.0001060026,False
9658,1.6284600000000005,1.0299000000000014,0.44106000000000023,0.40869,1.5013384999999992,0.8916418000000021,0.36133740000000003,0.34961109999999884,16.602316,2.523419669780593,0.08782733,4.22461e-05,False
40195,1.9286100000000026,0.9277499999999996,0.45002999999999993,0.33851999999999904,1.8970276000000013,0.8934007400000006,0.4302235000000003,0.32384227999999915,16.20894976,2.8915656800008636,0.08225905,2.178744e-05,False
98563,4.260680000000001,1.5468499999999992,0.960560000000001,0.46437999999999846,4.250548139999999,1.5358305199999975,0.9542059300000041,0.45967128999999574,20.4597957,2.0761651289330496,0.5327322,0.0001678503,False
46361,2.5918300000000016,2.1709799999999966,0.6830800000000004,0.35179000000000116,2.543065000000002,2.117942799999998,0.6524976000000002,0.3291267600000012,19.1596228,2.3668876224616895,0.3409294,4.127494e-05,False
78564,2.3379499999999993,1.558399999999999,0.6024000000000029,0.3193899999999985,2.2929424999999988,1.5094496,0.5741742000000016,0.2984730899999981,18.4508061,2.973714113350876,0.2674617,5.504398e-05,False
18843,1.8547000000000011,1.5804899999999975,0.6259399999999999,0.35977000000000103,1.834252150000001,1.5582507699999972,0.6131163899999983,0.3502669900000015,18.57374188,2.9747729302660404,0.2918544,6.167945e-05,True
48227,2.07263,1.496579999999998,0.5042100000000005,0.337019999999999,2.06061231,1.4835094799999986,0.4966732700000023,0.3314348599999981,18.20309195,3.898899825864783,0.2373111,4.387257e-05,False
54663,1.230999999999998,0.664439999999999,0.36721000000000004,0.2562500000000014,1.2072294099999965,0.6385869299999989,0.3523025799999999,0.24520276000000152,17.526680260000003,2.328584505247293,0.07661365,1.286114e-05,False
